Date,Open,High,Low,Close,Adj Close,Volume
2019-06-20,38.500000,42.000000,38.250000,38.619999,38.619999,137364200
2019-06-21,38.880001,40.250000,36.599998,37.220001,37.220001,42874100
2019-06-24,36.320000,36.970001,35.349998,35.759998,35.759998,16944500
2019-06-25,35.189999,36.139999,34.810001,35.200001,35.200001,10116600
2019-06-26,36.209999,37.599998,35.849998,37.189999,37.189999,19132500
2019-06-27,37.770000,38.220001,36.200001,36.250000,36.250000,11298600
2019-06-28,36.730000,37.500000,36.250000,37.500000,37.500000,8709000
2019-07-01,38.180000,38.439999,35.939999,36.549999,36.549999,9371800
2019-07-02,36.110001,36.990002,35.759998,36.549999,36.549999,3190400
2019-07-03,36.279999,36.459999,35.799999,36.000000,36.000000,3170700
2019-07-05,35.799999,36.099998,35.459999,35.520000,35.520000,3437700
2019-07-08,35.150002,35.540001,34.950001,35.000000,35.000000,4238400
2019-07-09,34.630001,35.660000,34.459999,35.639999,35.639999,4400100
2019-07-10,35.599998,36.439999,34.980000,35.189999,35.189999,4986500
2019-07-11,35.049999,35.500000,34.900002,35.000000,35.000000,4449700
2019-07-12,34.669998,34.990002,33.369999,33.730000,33.730000,14968000
2019-07-15,34.000000,35.209999,33.939999,34.750000,34.750000,8528400
2019-07-16,34.570000,35.150002,34.200001,34.400002,34.400002,5821500
2019-07-17,34.779999,35.000000,33.400002,33.459999,33.459999,4468800
2019-07-18,33.400002,33.540001,31.930000,32.000000,32.000000,6809900
2019-07-19,32.049999,32.950001,31.219999,31.299999,31.299999,5727700
2019-07-22,31.230000,33.349998,31.180000,33.250000,33.250000,3850800
2019-07-23,33.599998,34.939999,33.450001,33.939999,33.939999,7629400
2019-07-24,34.020000,34.160000,33.209999,34.099998,34.099998,3780700
2019-07-25,34.169998,34.299999,33.529999,33.720001,33.720001,3483000
2019-07-26,33.720001,34.209999,33.330002,34.090000,34.090000,4356700
2019-07-29,34.099998,34.130001,32.500000,33.009998,33.009998,5056400
2019-07-30,32.590000,32.799999,32.134998,32.580002,32.580002,2808400
2019-07-31,32.820000,34.000000,32.799999,33.419998,33.419998,3539600
2019-08-01,33.299999,33.330002,31.930000,32.000000,32.000000,5374400
2019-08-02,31.799999,31.850000,30.770000,30.870001,30.870001,5259900
2019-08-05,29.379999,31.430000,29.100000,31.389999,31.389999,5923100
2019-08-06,31.480000,32.230000,30.730000,30.840000,30.840000,3940300
2019-08-07,30.190001,31.080000,30.049999,30.770000,30.770000,2301200
2019-08-08,30.920000,31.670000,30.625000,31.530001,31.530001,1728000
2019-08-09,31.230000,31.450001,30.639999,30.780001,30.780001,1712200
2019-08-12,30.459999,32.130001,30.235001,31.170000,31.170000,2813800
2019-08-13,30.830000,31.790001,30.750000,31.250000,31.250000,2127900
2019-08-14,30.520000,30.813000,29.920000,30.760000,30.760000,3234400
2019-08-15,30.080000,30.750000,30.010000,30.160000,30.160000,2434800
2019-08-16,30.320000,30.355000,29.910000,30.000000,30.000000,2615000
2019-08-19,30.570000,31.500000,30.299999,31.139999,31.139999,2874600
2019-08-20,31.090000,31.100000,30.309999,30.500000,30.500000,2226900
2019-08-21,30.639999,31.389999,30.440001,30.799999,30.799999,2072000
2019-08-22,32.189999,32.480000,30.194000,30.549999,30.549999,4959100
2019-08-23,30.520000,30.639999,29.969999,30.049999,30.049999,3977700
2019-08-26,30.340000,31.139999,30.219999,30.969999,30.969999,3689500
2019-08-27,31.209999,31.270000,29.660000,29.910000,29.910000,3269900
2019-08-28,29.590000,29.799999,28.500000,29.799999,29.799999,5233600
2019-08-29,30.000000,30.190001,29.360001,29.980000,29.980000,3359500
2019-08-30,29.940001,30.209999,28.250000,28.639999,28.639999,4668600
2019-09-03,28.389999,29.219999,27.910000,28.760000,28.760000,6052000
2019-09-04,29.240000,31.280001,28.940001,31.070000,31.070000,13472700
2019-09-05,26.469999,31.209999,26.000000,30.010000,30.010000,43956900
2019-09-06,29.750000,29.980000,27.299999,27.379999,27.379999,15019200
2019-09-09,27.580000,27.600000,23.930000,24.920000,24.920000,29281800
2019-09-10,24.809999,26.860001,24.500000,26.750000,26.750000,15140200
2019-09-11,26.260000,26.260000,25.150000,25.250000,25.250000,7759200
2019-09-12,25.549999,25.900000,25.000000,25.620001,25.620001,5540900
2019-09-13,25.620001,25.695999,24.360001,24.490000,24.490000,6592300
2019-09-16,24.250000,26.209999,24.200001,26.100000,26.100000,8264600
2019-09-17,26.000000,27.410000,25.775999,26.219999,26.219999,8047600
2019-09-18,26.260000,26.750000,24.940001,25.709999,25.709999,5481600
2019-09-19,25.820000,25.959999,24.990000,25.719999,25.719999,6447000
2019-09-20,25.850000,26.100000,25.049999,25.370001,25.370001,9361200
2019-09-23,25.209999,25.245001,23.700001,24.160000,24.160000,13344700
2019-09-24,23.900000,24.410000,23.020000,23.200001,23.200001,10589900
2019-09-25,23.000000,23.240000,21.430000,22.730000,22.730000,13027600
2019-09-26,22.410000,22.940001,21.959999,22.629999,22.629999,5559600
2019-09-27,22.510000,22.754999,21.250000,22.059999,22.059999,6277000
2019-09-30,22.750000,24.405001,22.260000,23.730000,23.730000,12192500
2019-10-01,24.070000,24.070000,22.610001,22.870001,22.870001,8546700
2019-10-02,22.270000,23.490000,22.120001,23.430000,23.430000,6648800
2019-10-03,23.340000,25.420000,22.530001,24.930000,24.930000,16875200
2019-10-04,25.100000,25.209999,24.230000,24.969999,24.969999,6648800
2019-10-07,24.620001,26.280001,24.570000,26.049999,26.049999,7737100
2019-10-08,25.830000,26.396999,25.070000,25.700001,25.700001,8026200
2019-10-09,25.510000,25.590000,24.410000,24.570000,24.570000,9762700
2019-10-10,24.299999,24.840000,23.270000,23.820000,23.820000,11540000
2019-10-11,24.500000,26.360001,24.350000,25.990000,25.990000,15066600
2019-10-14,25.230000,25.540001,24.520000,24.620001,24.620001,8207700
2019-10-15,24.590000,24.980000,24.260000,24.740000,24.740000,5999200
2019-10-16,23.090000,23.799999,22.690001,23.639999,23.639999,14567400
2019-10-17,23.170000,24.000000,22.930000,24.000000,24.000000,6567900
2019-10-18,23.500000,23.600000,21.440001,21.809999,21.809999,20142900
2019-10-21,21.930000,22.740000,21.870001,22.580000,22.580000,8547500
2019-10-22,22.520000,22.580000,20.910000,21.030001,21.030001,11267000
2019-10-23,20.730000,21.480000,20.670000,20.840000,20.840000,7690000
2019-10-24,20.950001,21.480000,20.510000,20.980000,20.980000,10296200
2019-10-25,20.750000,21.330000,20.219999,20.459999,20.459999,9652000
2019-10-28,20.510000,21.639999,19.860001,21.469999,21.469999,13072800
2019-10-29,21.650000,22.780001,21.250000,22.500000,22.500000,11290400
2019-10-30,22.549999,23.270000,22.010000,23.250000,23.250000,9806300
2019-10-31,22.959999,23.230000,21.795000,22.000000,22.000000,5699500
2019-11-01,21.940001,22.180000,21.480000,21.940001,21.940001,5758200
2019-11-04,21.920000,22.260000,21.610001,21.940001,21.940001,6369200
2019-11-05,22.000000,22.160000,20.709999,20.750000,20.750000,7118700
2019-11-06,20.780001,20.950001,20.094999,20.139999,20.139999,8797100
2019-11-07,20.000000,20.549999,19.830000,20.340000,20.340000,7598700
2019-11-08,19.690001,20.500000,19.690001,20.500000,20.500000,9390500
